SENSOR_TYPE,NIS,RMSE_px,RMSE_py,RMSE_vx,RMSE_vy
R,3.38997,0.150184,0.13765,1.21841,0.81112
L,3.33039,0.150467,0.137404,1.21589,0.809258
R,5.15724,0.150706,0.137116,1.21334,0.807378
L,0.333851,0.1509,0.136839,1.21077,0.80552
R,1.43475,0.151162,0.136579,1.20825,0.803705
L,2.23282,0.151175,0.136381,1.20562,0.801943
R,0.864138,0.151305,0.136237,1.20307,0.800212
L,4.86596,0.151159,0.136034,1.2004,0.798468
R,2.17558,0.150997,0.135873,1.19775,0.796784
L,0.240147,0.1508,0.135753,1.1951,0.79513
R,1.41481,0.150653,0.135714,1.1925,0.793507
L,0.760289,0.150716,0.135676,1.19002,0.791883
R,3.7706,0.150885,0.135556,1.18758,0.79017
L,2.77448,0.150851,0.135398,1.18507,0.788461
R,5.86375,0.150754,0.135245,1.18253,0.786725
L,7.1884,0.150807,0.134963,1.18006,0.784983
R,1.95362,0.150802,0.134672,1.17758,0.783254
L,0.931045,0.150676,0.134385,1.17506,0.781534
R,1.171,0.150603,0.134093,1.17257,0.779832
L,1.57364,0.150388,0.133803,1.17005,0.778138
R,1.71858,0.150209,0.133513,1.16756,0.776453
L,2.29299,0.149975,0.133247,1.16507,0.774783
R,4.50762,0.149685,0.132964,1.16257,0.773118
L,2.5329,0.149433,0.132692,1.16011,0.771475
R,0.432694,0.14921,0.132432,1.15767,0.769842
L,0.394561,0.148959,0.132184,1.15524,0.768219
R,0.972243,0.148684,0.131943,1.15281,0.766606
L,0.0819546,0.148437,0.131706,1.15042,0.765001
R,3.01852,0.148182,0.13149,1.14804,0.763402
L,0.922378,0.147967,0.131342,1.14571,0.761822
R,10.8533,0.147803,0.131401,1.1434,0.760307
L,3.04063,0.147788,0.131364,1.14119,0.758769
R,2.42928,0.147757,0.131273,1.13898,0.757219
L,1.3172,0.14765,0.131107,1.13675,0.755667
R,3.75375,0.147446,0.130949,1.13448,0.75413
L,1.60115,0.147225,0.130722,1.13222,0.752596
R,3.23981,0.146951,0.130482,1.12993,0.751071
L,0.235322,0.146688,0.130232,1.12767,0.749557
R,2.50316,0.146396,0.129977,1.12541,0.748051
L,1.72873,0.146143,0.129719,1.12318,0.746555
R,5.33593,0.145855,0.12947,1.12094,0.745073
L,0.872649,0.145568,0.129217,1.11872,0.743594
R,1.51966,0.145284,0.128973,1.11651,0.742124
L,0.813731,0.145029,0.128732,1.11434,0.740664
R,4.29263,0.144789,0.12848,1.11219,0.739211
L,0.113068,0.144573,0.128231,1.11007,0.737767
