SENSOR_TYPE,NIS,RMSE_px,RMSE_py,RMSE_vx,RMSE_vy
R,0.402214,0.079287,0.0810437,0.440259,0.274129
L,1.83636,0.0791938,0.0809392,0.439675,0.273789
R,1.93123,0.0791105,0.0808399,0.439091,0.273439
L,0.121639,0.079028,0.0807327,0.43851,0.273117
R,1.14035,0.0789266,0.0806309,0.437955,0.272814
L,0.411814,0.0788234,0.0805246,0.437416,0.272474
R,6.45065,0.0787265,0.0804313,0.436935,0.272178
L,0.277988,0.078631,0.0803953,0.436468,0.271957
R,0.339772,0.0785515,0.0803818,0.436053,0.271744
L,0.308441,0.0784899,0.0803163,0.435646,0.271454
R,10.8022,0.0784658,0.0802547,0.4352,0.27115
L,1.17738,0.078454,0.0801515,0.434728,0.270798
R,3.73221,0.0784315,0.0800521,0.434197,0.270449
L,3.26958,0.0783415,0.0799965,0.433636,0.270124
R,0.914306,0.0782416,0.0799673,0.433088,0.269811
L,1.15478,0.0781528,0.079945,0.432577,0.269492
R,1.25546,0.0780645,0.0799099,0.432069,0.269163
L,3.35702,0.0779646,0.0798113,0.431527,0.268837
R,0.802613,0.0778664,0.0797137,0.43098,0.268511
L,0.679223,0.077775,0.079664,0.430432,0.268232
R,1.95334,0.0776831,0.07962,0.429885,0.267954
L,0.853773,0.0775851,0.0795596,0.429345,0.267661
R,1.78992,0.0774964,0.0795172,0.428828,0.267383
L,0.0243242,0.0774149,0.0795042,0.428318,0.267127
R,5.0352,0.0773188,0.0795346,0.42779,0.266889
L,0.344586,0.077222,0.0795391,0.427261,0.26662
R,2.30726,0.0771254,0.0795413,0.42675,0.266345
L,1.67468,0.0770446,0.0794545,0.426287,0.266019
R,2.76218,0.0769634,0.0793691,0.42584,0.265697
L,0.94558,0.0768798,0.0792775,0.425409,0.265372
R,1.71945,0.076786,0.0791843,0.42493,0.265045
L,2.01797,0.0766977,0.0791414,0.424431,0.264752
R,7.53053,0.076614,0.0791364,0.423913,0.264474
L,0.0391529,0.0765252,0.0791329,0.423401,0.264184
R,8.70875,0.0764532,0.0790894,0.422882,0.263872
L,0.196768,0.0763889,0.079013,0.422366,0.26355
R,0.164182,0.0763295,0.0789344,0.421851,0.263229
L,0.455409,0.0762881,0.0788385,0.421342,0.262923
R,1.25815,0.0762851,0.0787436,0.420856,0.262619
L,0.08213,0.0762956,0.0786488,0.420373,0.262306
R,2.43354,0.0763085,0.0785541,0.419874,0.261996
L,0.874482,0.0763092,0.0785118,0.419371,0.261688
R,2.23288,0.0763679,0.0784832,0.418876,0.261385
L,0.106185,0.0764341,0.0784254,0.418383,0.261072
R,1.07198,0.0764961,0.0783559,0.417889,0.26076
L,2.70671,0.0767565,0.078263,0.417432,0.260461
R,0.568762,0.0770258,0.0781699,0.416972,0.260171
L,1.34678,0.0771685,0.0780778,0.416486,0.259879
R,8.92326,0.0772538,0.0779854,0.416001,0.259603
L,0.346101,0.0774122,0.0778955,0.415527,0.259337
R,2.25901,0.0775281,0.0778105,0.415047,0.25909
L,0.57973,0.0775803,0.0777191,0.414559,0.258825
R,0.909682,0.0775865,0.0776321,0.414077,0.258595
L,0.860721,0.0775369,0.0775575,0.413612,0.258421
R,3.32618,0.0774818,0.0775137,0.413164,0.258327
L,0.0394929,0.0774183,0.0775153,0.412722,0.258324
R,4.56604,0.0773935,0.0775192,0.412243,0.258286
L,0.0641576,0.0773826,0.0775794,0.411764,0.258316
R,2.02814,0.0774458,0.0776525,0.411298,0.258319
L,2.67282,0.0774043,0.0776058,0.410824,0.258168
R,5.59826,0.0773497,0.07761,0.41035,0.258094
L,0.668973,0.0772681,0.0775916,0.409885,0.257996
R,1.36413,0.0771797,0.0776255,0.409434,0.257991
L,0.243709,0.0770942,0.0776875,0.408978,0.258015
R,2.38822,0.0770094,0.0778117,0.408577,0.258175
L,1.54395,0.0769221,0.0778926,0.408156,0.258256
R,6.08071,0.0768448,0.0779193,0.407698,0.258219
L,0.0842214,0.0767671,0.077939,0.407243,0.258171
R,1.87125,0.076712,0.0779735,0.406782,0.258121
L,2.52394,0.0766426,0.0783601,0.406323,0.258492
R,7.11076,0.0766085,0.0786709,0.405892,0.25868
L,2.47275,0.0766609,0.0788716,0.405489,0.25871
R,4.05081,0.0766662,0.0791049,0.405052,0.258779
L,0.911544,0.0766186,0.0792555,0.404602,0.258763
R,2.67156,0.0766274,0.0793767,0.404192,0.258665
L,0.482673,0.0767062,0.0795207,0.403806,0.258572
R,2.30863,0.0769038,0.0796493,0.403515,0.258421
L,0.202147,0.0771261,0.0798771,0.403222,0.258334
R,4.44027,0.0773322,0.0800794,0.402901,0.258219
L,4.11846,0.0773609,0.08028,0.402499,0.25811
R,1.69637,0.077454,0.0805238,0.402122,0.258021
L,0.560508,0.0774913,0.0806987,0.401715,0.257883
R,5.12777,0.0774739,0.081081,0.401278,0.257971
L,2.17655,0.0773935,0.0812437,0.400846,0.257881
R,3.16266,0.0773132,0.0813775,0.400408,0.257739
L,0.831712,0.0772324,0.0814048,0.399982,0.257525
R,0.534123,0.0771522,0.0814231,0.399555,0.257311
L,1.02203,0.0770957,0.0813496,0.399149,0.257036
R,0.078378,0.0770471,0.0812754,0.398742,0.256766
L,1.1016,0.0770007,0.0811901,0.398339,0.256491
R,0.562836,0.0769639,0.0811095,0.39794,0.256217
L,0.243435,0.076909,0.0810224,0.397528,0.255949
R,0.430514,0.0768487,0.080936,0.397107,0.255678
L,0.742321,0.0767683,0.0808739,0.396682,0.255478
R,7.78015,0.076728,0.0808376,0.396283,0.255388
L,0.20215,0.0767008,0.0807832,0.395889,0.255283
R,6.46782,0.0766562,0.0807432,0.395469,0.255165
L,1.1343,0.0765997,0.0808653,0.39505,0.255316
R,0.575906,0.0765496,0.0810287,0.394631,0.255522
L,4.65237,0.0765953,0.080955,0.394233,0.255347
R,2.72054,0.0766289,0.0808704,0.393819,0.255109
L,0.193659,0.0766548,0.0808013,0.393405,0.254931
R,0.229655,0.0766921,0.0807344,0.392993,0.254769
L,3.04167,0.0767278,0.0806598,0.392583,0.254514
R,1.85703,0.0767741,0.0806105,0.392173,0.254248
L,0.791077,0.0767752,0.0805264,0.391765,0.254037
R,1.05945,0.0767673,0.080446,0.391364,0.253799
L,1.74888,0.0767429,0.0804107,0.390964,0.253536
R,2.72818,0.0767487,0.0803827,0.390561,0.253273
